iter	MAE
0	1049.148207
1	1010.041208
2	973.4639367
3	939.0129725
4	902.9909359
5	871.6052774
6	839.9052506
7	809.8867505
8	782.8922575
9	761.6235727
10	737.0182974
11	713.8719525
12	692.1624416
13	671.4552038
14	651.8051268
15	633.0331738
16	615.7803558
17	599.195299
18	583.8759259
19	569.7382848
20	555.6617478
21	543.2501622
22	531.112062
23	519.9148516
24	509.4627741
25	499.7434548
26	490.1384876
27	481.5175902
28	473.3955091
29	465.7617922
30	458.5868335
31	451.3424874
32	444.7549311
33	438.6003495
34	432.6650838
35	426.9994738
36	421.5739535
37	416.5840115
38	411.7557223
39	407.7209407
40	403.5606077
41	399.582162
42	396.0168418
43	392.6893584
44	389.2898234
45	386.4417683
46	383.6847737
47	380.7781287
48	377.9904829
49	375.5926278
50	372.8999913
51	370.5370455
52	367.82685
53	365.6388847
54	363.3410533
55	361.0972975
56	359.0321529
57	357.1577347
58	355.3855153
59	353.6481426
60	352.062512
61	350.4940747
62	349.1498631
63	347.9548136
64	346.7045244
65	345.5811768
66	344.5027985
67	343.4964871
68	342.5042502
69	341.5502164
70	340.6375846
71	339.618721
72	338.7816424
73	337.9269853
74	337.1751854
75	336.4864222
76	335.8279721
77	335.2774019
78	334.6089799
79	333.9864041
80	333.3925335
81	332.8470234
82	332.3680077
83	331.8062136
84	331.2514496
85	330.7461973
86	330.1419672
87	329.6329257
88	329.0883797
89	328.5152858
90	328.0542377
91	327.5974321
92	327.1873725
93	326.8091559
94	326.3402887
95	325.9499365
96	325.5667066
97	325.1117927
98	324.7296523
99	324.3382691
100	323.9770807
101	323.645392
102	323.3085258
103	322.9751674
104	322.6144812
105	322.3147459
106	322.0620968
107	321.8289466
108	321.5786919
109	321.3408036
110	321.0344966
111	320.8057445
112	320.5969964
113	320.381198
114	320.1938211
115	319.9716079
116	319.766618
117	319.564911
118	319.3385468
119	319.1565544
120	318.9490219
121	318.7998509
122	318.6036947
123	318.4465
124	318.3085862
125	318.1489077
126	318.0072772
