iter	Passed	Remaining
0	11	11638
1	30	15158
2	43	14366
3	55	13708
4	67	13433
5	79	13213
6	91	12927
7	102	12676
8	113	12544
9	124	12300
10	135	12182
11	146	12096
12	158	12029
13	169	11946
14	180	11881
15	194	11939
16	208	12048
17	222	12164
18	249	12876
19	264	12978
20	282	13182
21	299	13299
22	318	13540
23	334	13593
24	351	13696
25	362	13582
26	376	13574
27	388	13501
28	407	13638
29	426	13777
30	440	13758
31	455	13769
32	476	13972
33	493	14031
34	507	13991
35	522	14000
36	536	13956
37	548	13896
38	566	13961
39	583	14013
40	596	13952
41	608	13880
42	620	13813
43	632	13752
44	644	13685
45	656	13607
46	667	13541
47	679	13483
48	692	13434
49	704	13384
50	716	13328
51	728	13283
52	740	13232
53	751	13170
54	763	13116
55	774	13056
56	786	13009
57	797	12957
58	809	12913
59	821	12874
60	834	12839
61	847	12818
62	860	12803
63	873	12777
64	886	12756
65	899	12723
66	914	12736
67	927	12707
68	941	12704
69	955	12698
70	968	12677
71	981	12656
72	995	12645
73	1009	12637
74	1034	12759
75	1050	12773
76	1063	12744
77	1076	12719
78	1089	12696
79	1102	12684
80	1116	12670
81	1130	12651
82	1144	12642
83	1158	12634
84	1172	12618
85	1185	12604
86	1199	12587
87	1213	12572
88	1228	12574
89	1256	12703
90	1271	12701
91	1289	12727
92	1304	12718
93	1320	12724
94	1336	12728
95	1351	12729
96	1366	12720
97	1378	12683
98	1390	12657
99	1404	12639
100	1423	12673
101	1437	12657
102	1454	12666
103	1470	12665
104	1482	12636
105	1496	12621
106	1511	12610
107	1522	12576
108	1536	12562
109	1550	12546
110	1564	12530
111	1577	12506
112	1597	12539
113	1613	12541
114	1637	12602
115	1652	12590
116	1664	12562
117	1678	12542
118	1690	12517
119	1703	12493
120	1717	12476
121	1731	12459
122	1745	12446
123	1759	12428
124	1773	12416
125	1787	12398
126	1801	12386
127	1816	12373
128	1829	12354
129	1843	12337
130	1857	12320
131	1870	12302
132	1885	12289
133	1900	12281
134	1912	12256
135	1926	12240
136	1940	12226
137	1955	12212
138	1967	12189
139	1981	12171
140	1995	12154
141	2007	12132
142	2020	12109
143	2034	12091
144	2047	12074
145	2061	12056
146	2075	12040
147	2086	12013
148	2099	11989
149	2111	11966
150	2125	11952
151	2140	11940
152	2153	11923
153	2165	11897
154	2180	11885
155	2194	11870
156	2206	11846
157	2221	11837
158	2235	11822
159	2248	11803
160	2261	11784
161	2274	11766
162	2288	11751
163	2301	11731
164	2316	11722
165	2328	11699
166	2340	11674
167	2354	11660
168	2367	11642
169	2382	11630
170	2393	11603
171	2406	11582
172	2423	11584
173	2437	11569
174	2451	11557
175	2465	11541
176	2478	11524
177	2492	11508
178	2506	11495
179	2519	11478
180	2531	11453
181	2543	11431
182	2554	11406
183	2568	11392
184	2579	11365
185	2593	11349
186	2606	11332
187	2619	11315
188	2633	11300
189	2646	11283
190	2660	11268
191	2673	11252
192	2687	11238
193	2701	11222
194	2714	11206
195	2727	11187
196	2740	11172
197	2766	11207
198	2781	11196
199	2795	11180
200	2806	11155
201	2819	11137
202	2831	11117
203	2843	11096
204	2856	11078
205	2871	11066
206	2884	11051
207	2899	11039
208	2913	11026
209	2926	11009
210	2940	10993
211	2952	10974
212	2966	10960
213	2979	10943
214	2992	10927
215	3007	10914
216	3020	10899
217	3032	10879
218	3044	10858
219	3058	10843
220	3072	10830
221	3087	10820
222	3101	10805
223	3112	10784
224	3125	10767
225	3137	10745
226	3150	10728
227	3162	10707
228	3174	10686
229	3186	10667
230	3200	10653
231	3211	10631
232	3223	10610
233	3235	10592
234	3248	10576
235	3261	10557
236	3274	10541
237	3287	10525
238	3299	10507
239	3312	10490
240	3326	10474
241	3339	10459
242	3353	10446
243	3365	10426
244	3378	10410
245	3391	10395
246	3403	10376
247	3419	10368
248	3432	10353
249	3445	10335
250	3458	10319
251	3470	10302
252	3485	10289
253	3499	10278
254	3512	10262
255	3524	10243
256	3536	10225
257	3547	10201
258	3560	10187
259	3572	10168
260	3585	10150
261	3597	10134
262	3609	10113
263	3622	10100
264	3636	10086
265	3649	10069
266	3663	10058
267	3677	10043
268	3689	10025
269	3699	10003
270	3712	9986
271	3725	9970
272	3738	9955
273	3751	9940
274	3767	9931
275	3780	9918
276	3794	9903
277	3806	9886
278	3819	9871
279	3832	9854
280	3845	9840
281	3859	9827
282	3871	9808
283	3885	9796
284	3897	9778
285	3911	9764
286	3923	9746
287	3933	9725
288	3946	9709
289	3959	9694
290	3971	9676
291	3982	9657
292	3995	9641
293	4008	9625
294	4020	9609
295	4032	9590
296	4046	9577
297	4058	9560
298	4070	9542
299	4080	9521
300	4094	9508
301	4107	9494
302	4121	9480
303	4134	9465
304	4147	9451
305	4160	9435
306	4174	9422
307	4188	9409
308	4200	9392
309	4213	9377
310	4225	9361
311	4237	9343
312	4249	9328
313	4263	9314
314	4276	9300
315	4289	9285
316	4302	9269
317	4314	9252
318	4325	9234
319	4338	9219
320	4351	9205
321	4364	9190
322	4377	9174
323	4389	9158
324	4403	9144
325	4419	9136
326	4432	9121
327	4444	9105
328	4457	9090
329	4470	9076
330	4483	9061
331	4496	9047
332	4508	9031
333	4521	9015
334	4533	9000
335	4546	8983
336	4559	8969
337	4572	8955
338	4583	8937
339	4596	8923
340	4608	8905
341	4621	8891
342	4633	8876
343	4647	8862
344	4658	8844
345	4671	8829
346	4681	8810
347	4695	8797
348	4706	8779
349	4719	8765
350	4732	8751
351	4746	8738
352	4759	8724
353	4770	8705
354	4784	8692
355	4798	8680
356	4812	8667
357	4824	8651
358	4834	8631
359	4847	8618
360	4861	8605
361	4876	8594
362	4888	8578
363	4902	8565
364	4916	8553
365	4930	8539
366	4942	8524
367	4955	8510
368	4968	8496
369	4980	8480
370	4993	8465
